,movie_title,year,place,star_cast,rating,vote,link
70,Joker,2019,71,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.336178278389525,,/title/tt7286456/
71,Spider-Man: Into the Spider-Verse,2018,72,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.334382854529391,,/title/tt4633694/
72,Old Boy,2003,73,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.326472121712,,/title/tt0364569/
73,Braveheart,1995,74,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.326393836627961,,/title/tt0112573/
74,Toy Story,1995,75,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.323879584239931,,/title/tt0114709/
75,Amadeus,1984,76,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.321357418519868,,/title/tt0086879/
76,Coco,2017,77,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.320406606533636,,/title/tt2380307/
77,Inglourious Basterds,2009,78,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.318098740007906,,/title/tt0361748/
78,The Boat,1981,79,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.317369407992254,,/title/tt0082096/
79,Avengers: Endgame,2019,80,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.31253962222501,,/title/tt4154796/
80,Princess Mononoke,1997,81,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.311389313736987,,/title/tt0119698/
81,Once Upon a Time in America,1984,82,"Sergio Leone (dir.), Robert De Niro, James Woods",8.310893301803254,,/title/tt0087843/
82,Good Will Hunting,1997,83,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293273365711952,,/title/tt0119217/
83,Toy Story 3,2010,84,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.28926772504886,,/title/tt0435761/
84,Requiem for a Dream,2000,85,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.287165394272776,,/title/tt0180093/
85,3 Idiots,2009,86,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.281206388136795,,/title/tt1187043/
86,Singin' in the Rain,1952,87,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.280305756140342,,/title/tt0045152/
87,Your Name,2016,88,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.280112438150272,,/title/tt5311514/
88,Star Wars: Episode VI - Return of the Jedi,1983,89,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.278941016482554,,/title/tt0086190/
89,Reservoir Dogs,1992,90,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.274879352155901,,/title/tt0105236/
90,Eternal Sunshine of the Spotless Mind,2004,91,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.274606241640651,,/title/tt0338013/
91,2001: A Space Odyssey,1968,92,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.273698576913265,,/title/tt0062622/
92,Citizen Kane,1941,93,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.265498877910987,,/title/tt0033467/
93,High and Low,1963,94,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.264984994034771,,/title/tt0057565/
94,Lawrence of Arabia,1962,95,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.2628855760602,,/title/tt0056172/
95,M,1931,96,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.261345803168954,,/title/tt0022100/
96,Capernaum,2018,97,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.261166127051558,,/title/tt8267604/
97,North by Northwest,1959,98,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.261109570057394,,/title/tt0053125/
98,The Hunt,2012,99,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.259630389498277,,/title/tt2106476/
99, Vertigo,1958,10,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.254952679593371,,/title/tt0052357/
100,Amélie,2001,101,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.254647061020325,,/title/tt0211915/
101,A Clockwork Orange,1971,102,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.254343509820215,,/title/tt0066921/
102,Full Metal Jacket,1987,103,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.248406955687198,,/title/tt0093058/
103,Scarface,1983,104,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.246208629233669,,/title/tt0086250/
104,Double Indemnity,1944,105,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.243286164521427,,/title/tt0036775/
105,Come and See,1985,106,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.24227366400744,,/title/tt0091251/
106,The Apartment,1960,107,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.240856114750192,,/title/tt0053604/
107,Taxi Driver,1976,108,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.239602570511169,,/title/tt0075314/
108,To Kill a Mockingbird,1962,109,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.236349326180848,,/title/tt0056592/
109,Hamilton,2020,110,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.235787937747114,,/title/tt8503618/
110,The Sting,1973,111,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.234720817412422,,/title/tt0070735/
111,LA Confidential,1997,112,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.234497289596781,,/title/tt0119488/
112,Up,2009,113,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.234359420236565,,/title/tt1049413/
113,Heat,1995,114,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.231993044768556,,/title/tt0113277/
114,Ikiru,1952,115,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230693130220063,,/title/tt0044741/
115,Snatch,2000,116,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.23050511249318,,/title/tt0208092/
116,Die Hard,1988,117,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.230025743996576,,/title/tt0095016/
117,Indiana Jones and the Last Crusade,1989,118,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.228282286638311,,/title/tt0097576/
118,A Separation,2011,119,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.227867289313025,,/title/tt1832382/
119,Metropolis,1927,120,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.226981637358627,,/title/tt0017136/
120,Bicycle Thieves,1948,121,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.223243872792194,,/title/tt0040522/
121,Incendies,2010,122,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.222753470243617,,/title/tt1255953/
122,1917,2019,123,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.219987922135374,,/title/tt8579674/
123,Like Stars on Earth,2007,124,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.218903463017208,,/title/tt0986264/
124,Batman Begins,2005,125,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.217599777282711,,/title/tt0372784/
125,For a Few Dollars More,1965,126,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.212338660132799,,/title/tt0059578/
126,Dangal,2016,127,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.211693189874703,,/title/tt5074352/
127,Downfall,2004,128,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.210919593372726,,/title/tt0363163/
128,The Kid,1921,129,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.20188620062449,,/title/tt0012349/
129,Some Like It Hot,1959,130,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.197809700786877,,/title/tt0053291/
130,The Father,2020,131,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.190906911964294,,/title/tt10272386/
131,All About Eve,1950,132,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.184858920959183,,/title/tt0042192/
132,Green Book,2018,133,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.180989071624298,,/title/tt6966692/
133,The Wolf of Wall Street,2013,134,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.180409166136808,,/title/tt0993846/
134,Unforgiven,1992,135,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.173021570186496,,/title/tt0105695/
135,Casino,1995,136,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.172597778748704,,/title/tt0112641/
